client_name, versioned_view_name
"ghcc", "ext.vvw_marketing_campaign_performance_1"
"ghcc", "ext.vvw_marketing_funnel_data_0"
"ghcc", "ext.vvw_order_flow_0"
"ghcc", "ext.vvw_orders_staging_2"
"ghcc", "ext.vvw_products_1"
"ghcc", "ext.vvw_subscriptions_by_date_2"
"gldn", "ext.vvw_cuids_to_process_0"
"gldn", "ext.vvw_customer_metrics_0"
"gldn", "ext.vvw_marketing_funnel_data_0"
"gldn", "ext.vvw_orders_staging_1"
"gldn", "ext.vvw_orders_staging_2"
"gldn", "ext.vvw_products_2"
"gldn", "ext.vvw_products_3"
"gldn", "ext.vvw_products_4"
"gldn", "ext.vvw_warehouse_locations_0"
"ippolita", "ext.vvw_adspend_order_attribution_2"
"ippolita", "ext.vvw_customer_metrics_0"
"ippolita", "ext.vvw_customers_1"
"ippolita", "ext.vvw_marketing_campaign_performance_1"
"ippolita", "ext.vvw_marketing_funnel_data_0"
"ippolita", "ext.vvw_marketing_source_medium_override_0"
"ippolita", "ext.vvw_marketing_source_medium_override_1"
"ippolita", "ext.vvw_orders_staging_0"
"ippolita", "ext.vvw_sku_mapping_gaps_0"
"ippolita", "ext.vvw_warehouse_locations_0"
"jco", "ext.vvw_customer_metrics_0"
"jco", "ext.vvw_warehouse_locations_0"
"lantern", "ext.vvw_customer_metrics_0"
"lantern", "ext.vvw_marketing_adspend_0"
"lantern", "ext.vvw_marketing_source_medium_override_0"
"lantern", "ext.vvw_orders_staging_1"
"lantern", "ext.vvw_warehouse_locations_0"
"lovevery", "ext.vvw_customer_metrics_0"
"lovevery", "ext.vvw_customer_metrics_1"
"lovevery", "ext.vvw_master_items_0"
"lovevery", "ext.vvw_warehouse_locations_0"
"lucky", "ext.vvw_adspend_order_attribution_3"
"lucky", "ext.vvw_customer_metrics_lapses_0"
"lucky", "ext.vvw_customers_2"
"lucky", "ext.vvw_inventory_0"
"lucky", "ext.vvw_marketing_campaign_performance_0"
"lucky", "ext.vvw_marketing_funnel_data_0"
"lucky", "ext.vvw_marketing_source_medium_all_0"
"lucky", "ext.vvw_master_items_0"
"lucky", "ext.vvw_master_items_1"
"lucky", "ext.vvw_pii_customers_to_process_0"
"lucky", "ext.vvw_pii_links_to_process_0"
"lucky", "ext.vvw_tracking_information_0"
"lucky", "ext.vvw_tracking_information_1"
"lucky", "ext.vvw_ups_shipment_0"
"lucky", "ext.vvw_warehouse_locations_0"
"lucky", "ext.vvw_warehouse_locations_1"
"mejuri", "ext.vvw_adspend_order_attribution_3"
"mejuri", "ext.vvw_adspend_order_attribution_4"
"mejuri", "ext.vvw_customer_metrics_1"
"mejuri", "ext.vvw_customer_metrics_daily_0"
"mejuri", "ext.vvw_customers_2"
"mejuri", "ext.vvw_inventory_2"
"mejuri", "ext.vvw_inventory_4"
"mejuri", "ext.vvw_inventory_5"
"mejuri", "ext.vvw_inventory_6"
"mejuri", "ext.vvw_marketing_campaign_performance_1"
"mejuri", "ext.vvw_marketing_funnel_data_0"
"mejuri", "ext.vvw_master_items_0"
"mejuri", "ext.vvw_order_fulfillment_items_3"
"mejuri", "ext.vvw_warehouse_locations_0"
"mejuri", "ext.vvw_warehouse_locations_1"
"miir", "ext.vvw_adspend_order_attribution_3"
"miir", "ext.vvw_customer_metrics_0"
"miir", "ext.vvw_inventory_0"
"miir", "ext.vvw_marketing_adspend_0"
"miir", "ext.vvw_marketing_adspend_1"
"miir", "ext.vvw_marketing_campaign_performance_1"
"miir", "ext.vvw_marketing_source_medium_override_0"
"miir", "ext.vvw_marketing_source_medium_override_1"
"miir", "ext.vvw_order_fulfillment_items_0"
"miir", "ext.vvw_orders_staging_0"
"miir", "ext.vvw_products_1"
"miir", "ext.vvw_warehouse_locations_0"
"mw", "ext.vvw_customer_metrics_0"
"mw", "ext.vvw_marketing_funnel_data_0"
"mw", "ext.vvw_warehouse_locations_0"
"or", "ext.vvw_customer_metrics_0"
"or", "ext.vvw_marketing_funnel_data_0"
"or", "ext.vvw_warehouse_locations_0"
"organifi", "ext.vvw_adspend_order_attribution_0"
"organifi", "ext.vvw_adspend_order_attribution_5"
"organifi", "ext.vvw_customer_metrics_0"
"organifi", "ext.vvw_customers_4"
"organifi", "ext.vvw_flattened_skus_0"
"organifi", "ext.vvw_infusionsoft_subscriptions_1"
"organifi", "ext.vvw_marketing_adspend_0"
"organifi", "ext.vvw_marketing_adspend_1"
"organifi", "ext.vvw_marketing_campaign_performance_0"
"organifi", "ext.vvw_marketing_funnel_data_0"
"organifi", "ext.vvw_marketing_order_attribution_0"
"organifi", "ext.vvw_marketing_source_medium_override_0"
"organifi", "ext.vvw_marketing_source_medium_override_1"
"organifi", "ext.vvw_marketing_source_medium_override_JON"
"organifi", "ext.vvw_master_items_0"
"organifi", "ext.vvw_order_fulfillment_items_0"
"organifi", "ext.vvw_orders_staging_0"
"organifi", "ext.vvw_orders_staging_7"
"organifi", "ext.vvw_warehouse_locations_0"
"ovme", "ext.vvw_adspend_order_attribution_0"
"ovme", "ext.vvw_aggregated_order_history_1"
"ovme", "ext.vvw_customer_metrics_0"
"ovme", "ext.vvw_marketing_adspend_0"
"ovme", "ext.vvw_marketing_campaign_performance_0"
"ovme", "ext.vvw_marketing_funnel_data_0"
"ovme", "ext.vvw_marketing_source_medium_override_1"
"ovme", "ext.vvw_order_fulfillment_items_0"
"ovme", "ext.vvw_order_fulfillment_items_1"
"ovme", "ext.vvw_orders_staging_0"
"ovme", "ext.vvw_orders_staging_1"
"ovme", "ext.vvw_orders_staging_2"
"ovme", "ext.vvw_orders_staging_4"
"ovme", "ext.vvw_products_0"
"ovme", "ext.vvw_warehouse_locations_0"
"pacsun", "ext.vvw_adspend_order_attribution_1"
"pacsun", "ext.vvw_adspend_order_attribution_2"
"pacsun", "ext.vvw_adspend_order_attribution_3"
"pacsun", "ext.vvw_adspend_order_attribution_4"
"pacsun", "ext.vvw_aggregated_order_history_7_tmp_mattjw_3993"
"pacsun", "ext.vvw_attentive_conversions_performance_2"
"pacsun", "ext.vvw_attentive_conversions_performance_3"
"pacsun", "ext.vvw_attentive_conversions_performance_4"
"pacsun", "ext.vvw_attentive_customers_3"
"pacsun", "ext.vvw_attentive_customers_4"
"pacsun", "ext.vvw_attentive_customers_5"
"pacsun", "ext.vvw_cuids_to_process_5"
"pacsun", "ext.vvw_customer_metrics_0"
"pacsun", "ext.vvw_customers_1"
"pacsun", "ext.vvw_email_customers_2"
"pacsun", "ext.vvw_email_marketing_performance_1"
"pacsun", "ext.vvw_mao_order_history_4"
"pacsun", "ext.vvw_mao_order_history_5"
"pacsun", "ext.vvw_mao_order_history_6"
"pacsun", "ext.vvw_mao_order_history_7_tmp_mattjw_3993"
"pacsun", "ext.vvw_marketing_campaign_all_1"
"pacsun", "ext.vvw_marketing_funnel_data_0"
"pacsun", "ext.vvw_marketing_order_attribution_1"
"pacsun", "ext.vvw_marketing_source_medium_all_0"
"pacsun", "ext.vvw_marketing_source_medium_all_1"
"pacsun", "ext.vvw_marketing_source_medium_all_2"
"pacsun", "ext.vvw_products_0"
"pacsun", "ext.vvw_products_1"
"pacsun", "ext.vvw_warehouse_locations_0"
"rainbow", "ext.vvw_cuids_to_process_0"
"rainbow", "ext.vvw_cuids_to_process_1"
"rainbow", "ext.vvw_customer_metrics_0"
"rainbow", "ext.vvw_marketing_adspend_0"
"rainbow", "ext.vvw_marketing_source_medium_override_0"
"rainbow", "ext.vvw_orders_staging_0"
"rainbow", "ext.vvw_orders_staging_1"
"rainbow", "ext.vvw_products_0"
"rainbow", "ext.vvw_products_1"
"rainbow", "ext.vvw_warehouse_locations_0"
"rp", "ext.vvw_adspend_order_attribution_1"
"rp", "ext.vvw_adspend_order_attribution_3"
"rp", "ext.vvw_customer_metrics_0"
"rp", "ext.vvw_customers_0"
"rp", "ext.vvw_fullcircle_order_history_3"
"rp", "ext.vvw_inventory_0"
"rp", "ext.vvw_marketing_campaign_performance_1"
"rp", "ext.vvw_marketing_funnel_data_0"
"rp", "ext.vvw_master_items_0"
"rp", "ext.vvw_pii_customers_to_process_0"
"rp", "ext.vvw_pii_links_to_process_0"
"rp", "ext.vvw_products_3"
"rp", "ext.vvw_sku_mapping_gaps_0"
"rp", "ext.vvw_warehouse_locations_0"
"tempo", "ext.vvw_customer_metrics_0"
"tempo", "ext.vvw_customer_metrics_lapses_1"
"tempo", "ext.vvw_marketing_funnel_data_0"
"tempo", "ext.vvw_marketing_order_attribution_1"
"tempo", "ext.vvw_order_fulfillment_items_0"
"tempo", "ext.vvw_orders_staging_0"
"tempo", "ext.vvw_orders_staging_1"
"tempo", "ext.vvw_warehouse_locations_0"
"truthbar", "client_directaccess.vvw_adspend_order_attribution_0"
"truthbar", "ext.vvw_adspend_order_attribution_1"
"truthbar", "ext.vvw_customer_metrics_0"
"truthbar", "ext.vvw_customer_metrics_1"
"truthbar", "ext.vvw_marketing_campaign_all_0"
"truthbar", "ext.vvw_marketing_campaign_override_0"
"truthbar", "ext.vvw_marketing_campaign_performance_1"
"truthbar", "ext.vvw_marketing_funnel_data_1"
"truthbar", "ext.vvw_marketing_order_attribution_0"
"truthbar", "ext.vvw_marketing_source_medium_mapping_0"
"truthbar", "ext.vvw_marketing_source_medium_override_1"
"truthbar", "ext.vvw_master_items_0"
"truthbar", "ext.vvw_orders_staging_0"
"truthbar", "ext.vvw_warehouse_locations_0"
"tumi", "ext.vvw_adspend_order_attribution_1"
"tumi", "ext.vvw_customer_metrics_0"
"tumi", "ext.vvw_customer_metrics_1"
"tumi", "ext.vvw_master_items_0"
"tumi", "ext.vvw_orders_sideloaded_1"
"tumi", "ext.vvw_orders_staging_3"
"tumi", "ext.vvw_warehouse_locations_0"
"velo", "ext.vvw_customer_metrics_0"
"velo", "ext.vvw_warehouse_locations_0"
